food_id,cnf_food_id,note
flour_all_purpose,501865,"Wheat flour, white, all purpose, unbleached"
cocoa_powder,4223,"Cocoa powder, unsweetened"
baking_soda,4005,"Leavening agent, baking soda"
salt,214,"Salt, table"
butter_unsalted,92,"Butter, unsalted"
brown_sugar,4317,"Brown sugar"
sugar_granulated,4318,"Granulated sugar"
egg_whole,125,"Egg, chicken, whole, raw"
milk_chocolate,4186,"Milk chocolate chips/bars"
almonds,2534,"Almonds, dried, unblanched, unroasted"
hot_chocolate_mix,2869,"Hot chocolate mix, powder"
baking_powder,4003,"Leavening agent, baking powder, phosphate"
chocolate_chips_semisweet,4148,"Semisweet chocolate chips"
mini_marshmallow,4183,"Candies, marshmallow"
potato,2505,"Potato, flesh and skin, raw"
milk_2pct,61,"Milk, fluid, partly skimmed, 2%"
instant_yeast,4008,"Yeast, baker's, active, dry"
canola_oil,451,"Vegetable oil, canola"
cinnamon_ground,178,"Spices, cinnamon, ground"
raspberries,1747,"Raspberry, raw"
lemon_juice,1589,"Lemon juice, raw"
graham_crumbs,3826,"Cookie, graham cracker, plain or honey"
egg_yolk,127,"Egg, chicken, yolk, raw"
egg_white,126,"Egg, chicken, white, raw"
ham_cooked,1148,"Deli-meat, ham, cooked, sliced"
dijon_mustard,1135,"Sauce, mustard, brown, ready-to-serve"
apple_cider_vinegar,13,"Vinegar, cider"
pineapple_canned_in_juice,5394,"Pineapple, canned, juice pack, drained"
pineapple_juice,1657,"Pineapple juice, canned"
cornstarch,4419,"Cornstarch"
pork_tenderloin,1931,"Pork loin tenderloin, lean, raw"
mushroom_white,2399,"Mushroom, white, raw"
vegetable_oil,419,"Vegetable oil, soybean"
balsamic_vinegar,6196,"Vinegar, balsamic"
cream_15,151,"Cream, table (coffee), 15% M.F."
chives,2059,"Chives, raw"
sweet_potato,2240,"Sweet potato, raw"
pork_stew_meat,1813,"Pork shoulder, whole, lean and fat, raw"
pearl_onion,2401,"Onion, raw"
garlic,2394,"Garlic, raw"
celery,2386,"Celery, raw"
chicken_broth,501763,"Soup, broth, chicken, ready-to-serve"
bay_leaf,172,"Spices, bay leaf"
rosemary,204,"Spices, rosemary, dried"
bell_pepper_green,2413,"Pepper, sweet, green, raw"
onion,2401,"Onion, raw"
carrot,2380,"Carrot, raw"
beef_ground,2690,"Beef, ground, medium, raw"
tomato_canned,501802,"Tomato products, canned, puree, with salt"
tomato_juice,2464,"Juice, tomato, canned"
tomato_paste,501801,"Tomato products, canned paste, with salt"
cayenne,199,"Spices, pepper, red or cayenne"
black_pepper,198,"Spices, pepper, black"
parsley_fresh,2405,"Parsley, fresh"
oregano_dried,195,"Spices, oregano, ground"
mustard_dry,192,"Spices, mustard seed, yellow"
worcestershire,1133,"Sauce, worcestershire, ready-to-serve"
tofu_firm,3404,"Tofu, regular, firm or extra firm, raw"
hoisin_sauce,4729,"Sauce, hoisin, ready-to-serve"
soy_sauce_reduced,3416,"Soy sauce shoyu, sodium reduced"
green_onion,2145,"Onion, Welsh, raw"
chickpeas_canned_drained,502261,"Chickpeas, canned, drained solids"
kidney_beans_canned_drained,502279,"Kidney beans red, canned, drained solids"
mixed_beans_canned_drained,3379,"Beans, kidney, all types, canned, solids and liquid"
shallot,2326,"Shallot, raw"
olive_oil,422,"Vegetable oil, olive"
red_wine_vinegar,6195,"Vinegar, red wine"
basil_dried,171,"Spices, basil, dried"
